"","PUBID","year","wage","age","numChildren","educ","school","experience","tenure","tenure2","fullTime","multipleLocations","unionized","marstat","region","urban","industry","autonomy","competitiveness","hazardous","regularity","teamwork"
"2291",1254,2007,1700,25,0,"4.College",TRUE,514,1.25,1.5625,TRUE,1,0,"No romantic union",2,1,"Manufacturing - Nondurable Goods",3.811850838,2.656096561,2.492355076,1.47927,4.13857
"2293",1254,2009,817,27,0,"4.College",TRUE,570,1.076923077,1.159763314,TRUE,1,0,"No romantic union",2,1,"Educational and Social Services",4.377085261,3.532187236,1.414131489,1.247822854,3.937813314
"2294",1254,2010,927,28,0,"4.College",TRUE,631,2.25,5.0625,TRUE,1,0,"No romantic union",2,1,"Educational and Social Services",4.377085261,3.532187236,1.414131489,1.247822854,3.937813314
"2295",1254,2011,929,29,0,"4.College",TRUE,675,3.096153846,9.586168639,TRUE,1,0,"No romantic union",2,1,"Educational and Social Services",4.377085261,3.532187236,1.414131489,1.247822854,3.937813314
"2296",1254,2013,1382,31,0,"4.College",FALSE,773,4.980769231,24.80806213,TRUE,1,0,"Married",2,1,"Professional, Scientific, Management, Administrative, and Waste Management Services",3.838460752,2.7493,2.417425,1.4899375,4.105213815
"2306",1266,2000,700,17,0,"1.Less than HS",TRUE,57,0.307692308,0.094674556,FALSE,0,0,"No romantic union",2,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",3.352571931,2.04099795,1.201989901,1.2773,4.113444328
"2307",1266,2001,300,18,0,"2.High school",TRUE,98,0.384615385,0.147928994,FALSE,0,0,"No romantic union",2,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",3.61957127,2.606160616,1.2344,1.3274,4.477847785
"2308",1266,2002,900,19,0,"2.High school",FALSE,151,0.326923077,0.106878698,TRUE,1,0,"No romantic union",2,1,"Retail Trade",3.4102896,2.56035,1.097459746,1.2124,4.162158108
"2309",1266,2003,900,20,0,"2.High school",FALSE,166,0.615384615,0.378698225,TRUE,1,0,"No romantic union",2,1,"Retail Trade",3.4102896,2.56035,1.097459746,1.2124,4.162158108
"2311",1266,2005,300,22,1,"2.High school",FALSE,203,0.423076923,0.178994083,FALSE,0,0,"No romantic union",2,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",3.61957127,2.606160616,1.2344,1.3274,4.477847785
"2312",1266,2006,800,23,1,"2.High school",FALSE,225,0.423076923,0.178994083,TRUE,1,0,"No romantic union",2,1,"Transportation and Warehousing",3.607358199,2.529413235,1.788719718,1.225075,4.174620634
"2313",1266,2007,800,24,1,"2.High school",FALSE,267,1.230769231,1.514792899,TRUE,0,0,"No romantic union",2,1,"Transportation and Warehousing",3.607358199,2.529413235,1.788719718,1.225075,4.174620634
"2314",1266,2008,850,25,1,"2.High school",FALSE,296,0.557692308,0.31102071,TRUE,1,0,"No romantic union",2,1,"Wholesale Trade",3.768504606,2.6378,1.435,1.2414,4.3406
"2315",1266,2011,265,28,2,"2.High school",FALSE,329,0.634615385,0.402736686,FALSE,1,0,"Cohabiting",2,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",3.61957127,2.606160616,1.2344,1.3274,4.477847785
"2316",1266,2013,265,30,2,"2.High school",FALSE,345,0.942307692,0.887943787,TRUE,1,0,"No romantic union",2,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",3.61957127,2.606160616,1.2344,1.3274,4.477847785
"2318",1268,1998,265,18,0,"1.Less than HS",TRUE,164,0.596153846,0.355399408,FALSE,1,0,"No romantic union",2,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",3.61957127,2.606160616,1.2344,1.3274,4.477847785
"2322",1268,2002,265,22,0,"2.High school",FALSE,349,1.038461538,1.078402367,FALSE,0,0,"No romantic union",2,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",3.61957127,2.606160616,1.2344,1.3274,4.477847785
"2323",1268,2003,265,23,0,"2.High school",FALSE,409,2.192307692,4.806213018,FALSE,0,0,"No romantic union",2,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",3.61957127,2.606160616,1.2344,1.3274,4.477847785
"2324",1268,2004,265,24,0,"2.High school",FALSE,466,3.288461538,10.81397929,FALSE,0,0,"No romantic union",2,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",3.61957127,2.606160616,1.2344,1.3274,4.477847785
"2325",1268,2005,600,25,0,"2.High school",FALSE,514,4.211538462,17.73705621,FALSE,0,0,"No romantic union",2,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",3.61957127,2.606160616,1.2344,1.3274,4.477847785
"2326",1268,2006,600,26,0,"2.High school",FALSE,557,0.596153846,0.355399408,FALSE,1,0,"No romantic union",4,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",4.139598413,2.701270127,1.197880212,1.5937,4.3814
"2328",1268,2008,600,28,0,"2.High school",FALSE,638,0.884615385,0.782544379,FALSE,1,0,"No romantic union",4,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",3.61957127,2.606160616,1.2344,1.3274,4.477847785
"2329",1268,2009,655,29,0,"2.High school",FALSE,687,1.826923077,3.337647929,FALSE,1,0,"No romantic union",4,0,"Arts, Entertainment, Recreation, Accommodations, and Food Services",3.61957127,2.606160616,1.2344,1.3274,4.477847785
"2330",1268,2010,600,30,0,"2.High school",FALSE,757,1.230769231,1.514792899,FALSE,1,0,"No romantic union",4,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",4.139598413,2.701270127,1.197880212,1.5937,4.3814
"2334",1271,1999,265,17,0,"1.Less than HS",FALSE,176,1.423076923,2.025147929,TRUE,0,0,"No romantic union",2,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",3.140506337,2.437256274,1.0192,1.1285,4.416641664
"2335",1271,2000,300,18,0,"1.Less than HS",TRUE,224,2.346153846,5.50443787,TRUE,0,0,"No romantic union",2,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",3.140506337,2.437256274,1.0192,1.1285,4.416641664
"2336",1271,2001,900,19,0,"1.Less than HS",FALSE,268,0.730769231,0.534023669,TRUE,1,1,"No romantic union",2,1,"Manufacturing - Durable Goods",4.014601257,2.810781078,2.104310431,1.148,4.214821482
"2337",1271,2002,265,20,0,"1.Less than HS",FALSE,324,1,1,TRUE,0,0,"No romantic union",2,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",3.61957127,2.606160616,1.2344,1.3274,4.477847785
"2338",1271,2003,265,21,0,"2.High school",FALSE,377,2.019230769,4.077292899,FALSE,0,0,"No romantic union",2,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",3.61957127,2.606160616,1.2344,1.3274,4.477847785
"2339",1271,2004,265,22,0,"2.High school",FALSE,424,2.923076923,8.544378698,FALSE,0,0,"No romantic union",2,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",3.61957127,2.606160616,1.2344,1.3274,4.477847785
"2340",1271,2005,265,23,0,"2.High school",FALSE,470,3.807692308,14.49852071,FALSE,0,0,"No romantic union",2,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",3.61957127,2.606160616,1.2344,1.3274,4.477847785
"2342",1271,2007,300,25,0,"2.High school",FALSE,557,1.480769231,2.192677515,FALSE,1,0,"No romantic union",2,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",3.61957127,2.606160616,1.2344,1.3274,4.477847785
"2343",1271,2008,1200,26,0,"2.High school",FALSE,609,1.519230769,2.30806213,TRUE,0,0,"No romantic union",2,1,"Health Care",4.122555344,3.05106,1.296125923,1.2593,4.31699366
"2344",1271,2009,2051,27,0,"2.High school",FALSE,653,2.365384615,5.595044379,TRUE,1,0,"No romantic union",2,1,"Health Care",4.122555344,3.05106,1.296125923,1.2593,4.31699366
"2345",1271,2010,2600,28,0,"2.High school",FALSE,708,1,1,FALSE,0,0,"No romantic union",2,1,"Professional, Scientific, Management, Administrative, and Waste Management Services",4.217974043,3.503542958,1.5584,1.234,4.429340838
"2348",1282,1998,740,17,0,"1.Less than HS",TRUE,93,1.653846154,2.735207101,TRUE,1,0,"No romantic union",2,1,"Retail Trade",4.0115,3.585,1.2574,1.1962,4.292729273
"2350",1282,2000,1200,19,0,"2.High school",TRUE,136,0.25,0.0625,TRUE,1,0,"No romantic union",2,1,"Professional, Scientific, Management, Administrative, and Waste Management Services",3.76449847,2.47401185,1.198479962,1.010675,4.1679
"2353",1282,2003,950,22,0,"2.High school",TRUE,233,1.557692308,2.426405325,FALSE,1,0,"No romantic union",2,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",4.02090425,2.8274,1.3291,1.1187,4.245575442
"2358",1282,2008,3026,27,0,"2.High school",FALSE,487,0.576923077,0.332840237,TRUE,1,0,"Married",3,0,"Professional, Scientific, Management, Administrative, and Waste Management Services",4.134734777,2.9412,1.157084292,1.0324,4.5255
"2360",1282,2010,3047,29,0,"2.High school",FALSE,604,2.826923077,7.991494083,TRUE,1,0,"Married",3,0,"Professional, Scientific, Management, Administrative, and Waste Management Services",4.134734777,2.9412,1.157084292,1.0324,4.5255
"2361",1282,2011,3174,30,0,"2.High school",FALSE,638,3.480769231,12.11575444,TRUE,1,0,"No romantic union",1,0,"Professional, Scientific, Management, Administrative, and Waste Management Services",4.134734777,2.9412,1.157084292,1.0324,4.5255
"2362",1282,2013,3500,33,0,"2.High school",FALSE,764,5.903846154,34.85539941,TRUE,1,0,"No romantic union",3,1,"Other",2.9368,2.7455,1.1644,1.0014,4.323932393
"2365",1295,1999,550,20,0,"2.High school",TRUE,285,0.442307692,0.195636095,FALSE,1,0,"No romantic union",2,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",3.124182278,2.0225,1.3526,1.5854,3.8688
"2366",1295,2000,660,20,0,"2.High school",TRUE,296,0.269230769,0.072485207,FALSE,1,0,"No romantic union",2,1,"Retail Trade",4.0115,3.585,1.2574,1.1962,4.292729273
"2368",1295,2002,570,22,0,"2.High school",FALSE,366,1.211538462,1.467825444,FALSE,0,0,"No romantic union",2,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",3.955255243,4.425480849,1.312156261,1.863666667,4.487133333
"2369",1295,2003,265,23,0,"4.College",FALSE,403,0.711538462,0.506286982,FALSE,1,0,"No romantic union",2,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",3.61957127,2.606160616,1.2344,1.3274,4.477847785
"2371",1295,2005,1923,25,0,"4.College",FALSE,511,1.096153846,1.201553254,TRUE,1,0,"No romantic union",3,1,"Public Administration and Armed Forces",4.217974043,3.503542958,1.5584,1.234,4.429340838
"2372",1296,2001,750,18,0,"2.High school",TRUE,25,0.480769231,0.231139053,FALSE,1,0,"No romantic union",2,1,"Retail Trade",4.0115,3.585,1.2574,1.1962,4.292729273
"2378",1296,2009,1346,26,0,"4.College",FALSE,247,0.269230769,0.072485207,TRUE,1,1,"No romantic union",2,1,"Educational and Social Services",4.13008503,3.0101,1.5915,1.04135,4.291314566
"2379",1296,2010,1571,27,0,"4.College",FALSE,298,1.25,1.5625,TRUE,1,1,"No romantic union",2,1,"Educational and Social Services",4.13008503,3.0101,1.5915,1.04135,4.291314566
"2380",1296,2011,1713,28,0,"4.College",FALSE,347,2.192307692,4.806213018,TRUE,1,1,"No romantic union",2,1,"Educational and Social Services",4.201187777,2.608920297,1.2763,1.0123,4.355778526
"2381",1296,2013,1571,30,0,"4.College",FALSE,459,4.346153846,18.88905325,TRUE,1,1,"No romantic union",2,1,"Educational and Social Services",4.201187777,2.608920297,1.2763,1.0123,4.355778526
"2382",1306,1998,675,17,0,"1.Less than HS",TRUE,79,1.519230769,2.30806213,FALSE,1,0,"No romantic union",2,1,"Retail Trade",4.0115,3.585,1.2574,1.1962,4.292729273
"2383",1306,1999,685,18,0,"2.High school",TRUE,101,1.942307692,3.772559172,FALSE,1,0,"No romantic union",2,1,"Retail Trade",4.0115,3.585,1.2574,1.1962,4.292729273
"2386",1306,2004,286,23,0,"4.College",FALSE,159,0.673076923,0.453032544,FALSE,1,0,"No romantic union",2,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",3.61957127,2.606160616,1.2344,1.3274,4.477847785
"2387",1306,2005,2537,24,0,"4.College",FALSE,180,0.403846154,0.163091716,TRUE,1,0,"No romantic union",2,1,"Professional, Scientific, Management, Administrative, and Waste Management Services",4.405750834,4.026899103,1.638366667,1.3734,4.310577019
"2388",1306,2006,1163,25,0,"4.College",FALSE,234,1.442307692,2.080251479,TRUE,1,0,"Cohabiting",2,1,"Finance, Insurance, Real Estate, and Rental and Leasing",4.405750834,4.026899103,1.638366667,1.3734,4.310577019
"2389",1306,2007,1154,26,0,"4.College",FALSE,284,2.403846154,5.778476331,TRUE,1,0,"No romantic union",2,1,"Finance, Insurance, Real Estate, and Rental and Leasing",4.405750834,4.026899103,1.638366667,1.3734,4.310577019
"2390",1306,2008,1615,27,0,"4.College",FALSE,346,3.596153846,12.93232249,TRUE,1,0,"Cohabiting",2,1,"Manufacturing - Durable Goods",4.405750834,4.026899103,1.638366667,1.3734,4.310577019
"2391",1306,2009,1654,28,0,"4.College",FALSE,386,4.365384615,19.05658284,TRUE,1,0,"Married",2,1,"Manufacturing - Durable Goods",4.405750834,4.026899103,1.638366667,1.3734,4.310577019
"2392",1306,2010,1654,29,0,"4.College",FALSE,441,5.423076923,29.40976331,TRUE,1,0,"Married",2,1,"Manufacturing - Durable Goods",4.405750834,4.026899103,1.638366667,1.3734,4.310577019
"2393",1306,2011,1833,30,1,"4.College",FALSE,488,6.326923077,40.02995562,TRUE,1,0,"Married",2,1,"Manufacturing - Durable Goods",4.405750834,4.026899103,1.638366667,1.3734,4.310577019
"2394",1306,2013,1683,32,2,"4.College",FALSE,602,8.519230769,72.5772929,TRUE,1,0,"Married",2,1,"Other",4.255908654,4.16525,1.24195,1.22675,4.31295
"2396",1307,2001,650,17,0,"1.Less than HS",TRUE,59,1.134615385,1.287352071,FALSE,1,0,"No romantic union",2,1,"Retail Trade",3.4102896,2.56035,1.097459746,1.2124,4.162158108
"2397",1307,2002,650,18,0,"2.High school",TRUE,88,1.692307692,2.863905325,FALSE,1,0,"No romantic union",2,1,"Retail Trade",3.4102896,2.56035,1.097459746,1.2124,4.162158108
"2402",1307,2009,1695,25,0,"4.College",FALSE,211,0.442307692,0.195636095,TRUE,1,0,"No romantic union",2,1,"Public Administration and Armed Forces",3.906318948,3.17655,1.386780661,1.29385,4.116255813
"2404",1307,2011,1200,27,0,"4.College",FALSE,311,0.538461538,0.289940828,FALSE,1,0,"No romantic union",2,1,"Finance, Insurance, Real Estate, and Rental and Leasing",3.76,4.64,1.44,2.04,3.16
"2405",1307,2013,1500,29,0,"4.College",FALSE,424,2.673076923,7.145340237,TRUE,1,0,"No romantic union",2,1,"Finance, Insurance, Real Estate, and Rental and Leasing",4.255908654,4.16525,1.24195,1.22675,4.31295
"2407",1308,2004,1000,21,0,"2.High school",TRUE,70,1.038461538,1.078402367,FALSE,1,0,"No romantic union",2,1,"Educational and Social Services",3.935328176,2.68572,3.916963321,1.05116,4.144637107
"2408",1308,2005,850,22,0,"4.College",FALSE,117,0.269230769,0.072485207,FALSE,1,1,"No romantic union",2,1,"Retail Trade",3.931172173,2.828816667,2.213060653,1.121466667,4.63505
"2409",1308,2006,950,23,0,"4.College",FALSE,165,1.192307692,1.421597633,FALSE,1,1,"No romantic union",2,1,"Retail Trade",3.931172173,2.828816667,2.213060653,1.121466667,4.63505
"2410",1308,2007,1000,24,0,"4.College",FALSE,223,2.307692308,5.325443787,FALSE,1,1,"No romantic union",2,1,"Retail Trade",3.931172173,2.828816667,2.213060653,1.121466667,4.63505
"2411",1308,2008,1307,25,0,"4.College",FALSE,272,3.25,10.5625,FALSE,1,1,"No romantic union",2,1,"Retail Trade",3.931172173,2.828816667,2.213060653,1.121466667,4.63505
"2412",1308,2009,1352,25,0,"4.College",FALSE,317,4.115384615,16.93639053,FALSE,1,1,"No romantic union",2,1,"Retail Trade",3.931172173,2.828816667,2.213060653,1.121466667,4.63505
"2413",1308,2010,1352,26,0,"4.College",FALSE,370,5.134615385,26.36427515,FALSE,1,1,"No romantic union",2,1,"Retail Trade",3.931172173,2.828816667,2.213060653,1.121466667,4.63505
"2414",1308,2011,1352,27,0,"4.College",FALSE,420,6.096153846,37.16309172,FALSE,1,1,"No romantic union",2,1,"Retail Trade",3.931172173,2.828816667,2.213060653,1.121466667,4.63505
"2415",1308,2013,1600,30,0,"4.College",FALSE,533,1,1,TRUE,0,0,"No romantic union",2,1,"Manufacturing - Durable Goods",4.173710508,2.1113,1,1.0987,3.821782178
"2417",1309,2000,600,18,0,"2.High school",TRUE,108,0.288461538,0.083210059,FALSE,0,0,"No romantic union",2,1,"Other Services",4.217974043,3.503542958,1.5584,1.234,4.429340838
"2418",1309,2008,890,26,0,"2.High school",FALSE,174,0.615384615,0.378698225,FALSE,1,0,"No romantic union",2,1,"Retail Trade",3.998839963,2.86860657,1.1512,1.1628,4.3439
"2419",1309,2011,1450,30,1,"2.High school",FALSE,216,0.576923077,0.332840237,TRUE,1,0,"No romantic union",2,1,"Manufacturing - Nondurable Goods",4.706133333,3.442855714,1.644835516,1.1512,4.7947
"2420",1309,2013,1538,32,1,"2.High school",FALSE,329,2.75,7.5625,TRUE,0,0,"No romantic union",2,1,"Manufacturing - Nondurable Goods",4.706133333,3.442855714,1.644835516,1.1512,4.7947
"2421",1311,1999,850,19,0,"2.High school",FALSE,30,0.365384615,0.133505917,TRUE,1,1,"No romantic union",2,0,"Professional, Scientific, Management, Administrative, and Waste Management Services",4.013030244,3.231223122,1.0179982,1.1739,4.4473
"2422",1311,2000,1360,20,0,"2.High school",FALSE,82,0.730769231,0.534023669,TRUE,0,0,"No romantic union",2,0,"Public Administration and Armed Forces",4.013030244,3.231223122,1.0179982,1.1739,4.4473
"2423",1311,2001,1403,21,0,"2.High school",FALSE,128,1.615384615,2.609467456,TRUE,0,0,"No romantic union",2,0,"Public Administration and Armed Forces",4.013030244,3.231223122,1.0179982,1.1739,4.4473
"2424",1311,2002,1542,22,0,"2.High school",FALSE,182,2.653846154,7.042899408,TRUE,0,0,"No romantic union",2,0,"Public Administration and Armed Forces",4.013030244,3.231223122,1.0179982,1.1739,4.4473
"2425",1311,2003,1647,23,0,"2.High school",FALSE,233,3.634615385,13.21042899,TRUE,0,0,"No romantic union",2,0,"Public Administration and Armed Forces",4.013030244,3.231223122,1.0179982,1.1739,4.4473
"2426",1311,2004,1760,24,0,"2.High school",FALSE,282,4.576923077,20.94822485,TRUE,0,0,"No romantic union",2,1,"Public Administration and Armed Forces",4.013030244,3.231223122,1.0179982,1.1739,4.4473
"2427",1311,2005,1842,25,0,"2.High school",FALSE,339,5.673076923,32.18380178,TRUE,1,0,"No romantic union",2,1,"Public Administration and Armed Forces",3.255813892,2.635,1.0136,1.2795,4.2507
"2428",1311,2006,2020,26,0,"2.High school",FALSE,386,6.576923077,43.25591716,TRUE,0,0,"No romantic union",2,1,"Public Administration and Armed Forces",3.255813892,2.635,1.0136,1.2795,4.2507
"2429",1311,2007,2050,27,0,"2.High school",FALSE,435,7.519230769,56.53883136,TRUE,0,0,"Cohabiting",2,1,"Public Administration and Armed Forces",3.255813892,2.635,1.0136,1.2795,4.2507
"2430",1311,2008,2082,28,0,"2.High school",FALSE,491,8.596153846,73.89386095,TRUE,0,1,"Married",2,1,"Public Administration and Armed Forces",3.255813892,2.635,1.0136,1.2795,4.2507
"2432",1311,2010,2240,30,1,"2.High school",FALSE,594,10.57692308,111.8713018,TRUE,0,1,"Married",2,1,"Public Administration and Armed Forces",3.255813892,2.635,1.0136,1.2795,4.2507
"2436",1313,2000,725,17,0,"1.Less than HS",TRUE,32,0.326923077,0.106878698,FALSE,1,0,"No romantic union",2,0,"Retail Trade",3.4102896,2.56035,1.097459746,1.2124,4.162158108
"2437",1313,2001,725,18,0,"2.High school",TRUE,65,0.961538462,0.924556213,FALSE,1,0,"No romantic union",2,0,"Retail Trade",3.4102896,2.56035,1.097459746,1.2124,4.162158108
"2438",1313,2002,750,19,0,"2.High school",TRUE,102,0.673076923,0.453032544,FALSE,1,0,"No romantic union",2,0,"Educational and Social Services",4.013030244,3.231223122,1.0179982,1.1739,4.4473
"2439",1313,2003,875,20,0,"2.High school",TRUE,156,1.711538462,2.929363905,FALSE,0,0,"No romantic union",2,0,"Educational and Social Services",4.013030244,3.231223122,1.0179982,1.1739,4.4473
"2440",1313,2004,875,21,0,"2.High school",TRUE,177,2.115384615,4.474852071,FALSE,1,0,"No romantic union",2,1,"Educational and Social Services",4.013030244,3.231223122,1.0179982,1.1739,4.4473
"2442",1313,2006,1200,23,0,"4.College",TRUE,216,0.288461538,0.083210059,TRUE,0,0,"No romantic union",2,1,"Professional, Scientific, Management, Administrative, and Waste Management Services",4.648408599,3.865386539,1.0138,1.1512,3.619138086
"2443",1313,2007,8077,24,0,"4.College",TRUE,241,0.480769231,0.231139053,FALSE,1,0,"No romantic union",2,1,"Professional, Scientific, Management, Administrative, and Waste Management Services",4.648408599,3.865386539,1.0138,1.1512,3.619138086
"2444",1313,2008,4006,26,0,"4.College",FALSE,301,1.634615385,2.671967456,TRUE,0,0,"No romantic union",2,1,"Professional, Scientific, Management, Administrative, and Waste Management Services",4.648408599,3.865386539,1.0138,1.1512,3.619138086
"2445",1313,2010,3045,28,0,"4.College",FALSE,404,3.615384615,13.07100592,TRUE,0,0,"No romantic union",2,1,"Professional, Scientific, Management, Administrative, and Waste Management Services",4.648408599,3.865386539,1.0138,1.1512,3.619138086
"2463",1315,1998,264,18,0,"2.High school",FALSE,111,0.692307692,0.479289941,FALSE,0,0,"No romantic union",2,0,"Arts, Entertainment, Recreation, Accommodations, and Food Services",3.61957127,2.606160616,1.2344,1.3274,4.477847785
"2464",1315,1999,1000,19,0,"2.High school",FALSE,164,0.269230769,0.072485207,TRUE,1,0,"Cohabiting",2,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",4.318733333,3.4285,1,1.4828,2.4667
"2465",1315,2000,50000,20,0,"2.High school",FALSE,208,1.115384615,1.24408284,TRUE,1,0,"Cohabiting",2,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",4.318733333,3.4285,1,1.4828,2.4667
"2466",1315,2006,1119,26,0,"2.High school",FALSE,519,7.096153846,50.35539941,TRUE,1,0,"Married",2,0,"Arts, Entertainment, Recreation, Accommodations, and Food Services",4.217974043,3.503542958,1.5584,1.234,4.429340838
"2467",1315,2007,1395,27,0,"2.High school",FALSE,566,8,64,TRUE,1,0,"Cohabiting",2,0,"Arts, Entertainment, Recreation, Accommodations, and Food Services",4.217974043,3.503542958,1.5584,1.234,4.429340838
"2469",1315,2009,1635,29,0,"2.High school",FALSE,668,9.961538462,99.23224852,TRUE,1,0,"No romantic union",2,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",4.217974043,3.503542958,1.5584,1.234,4.429340838
"2470",1315,2011,1667,31,0,"2.High school",FALSE,769,11.90384615,141.7015533,FALSE,1,0,"No romantic union",2,1,"Arts, Entertainment, Recreation, Accommodations, and Food Services",4.318733333,3.4285,1,1.4828,2.4667
"2476",1319,2002,600,18,0,"2.High school",TRUE,137,1.173076923,1.376109467,FALSE,1,0,"No romantic union",2,0,"Other Services",3.983,2.745174517,3.168816882,1.2546,3.927692769
"2477",1319,2003,850,19,0,"2.High school",FALSE,187,0.519230769,0.269600592,TRUE,1,0,"No romantic union",2,0,"Health Care",4.074716021,2.478675,1.451711293,1.2579,4.296292593
"2478",1319,2004,1137,20,0,"2.High school",FALSE,241,1.557692308,2.426405325,TRUE,1,0,"No romantic union",2,1,"Health Care",4.217974043,3.503542958,1.5584,1.234,4.429340838
"2479",1319,2005,1187,21,0,"2.High school",FALSE,293,2.557692308,6.541789941,TRUE,1,0,"Cohabiting",2,1,"Health Care",4.217974043,3.503542958,1.5584,1.234,4.429340838
"2480",1319,2006,1234,22,0,"2.High school",FALSE,342,3.5,12.25,TRUE,1,0,"No romantic union",2,1,"Health Care",4.217974043,3.503542958,1.5584,1.234,4.429340838
"2481",1319,2007,1294,23,0,"2.High school",FALSE,391,4.442307692,19.73409763,TRUE,1,1,"Cohabiting",2,1,"Health Care",4.217974043,3.503542958,1.5584,1.234,4.429340838
"2482",1319,2008,1149,24,0,"2.High school",FALSE,443,0.615384615,0.378698225,TRUE,1,0,"Cohabiting",2,1,"Transportation and Warehousing",3.998839963,2.86860657,1.1512,1.1628,4.3439
"2483",1319,2009,1149,25,0,"2.High school",FALSE,491,1.538461538,2.366863905,TRUE,1,0,"Cohabiting",2,1,"Transportation and Warehousing",3.998839963,2.86860657,1.1512,1.1628,4.3439
"2484",1319,2010,1137,26,0,"2.High school",FALSE,547,2.615384615,6.840236686,TRUE,1,0,"No romantic union",2,1,"Transportation and Warehousing",3.998839963,2.86860657,1.1512,1.1628,4.3439
"2485",1319,2011,1187,27,0,"2.High school",FALSE,595,3.538461538,12.52071006,TRUE,1,0,"Cohabiting",2,1,"Transportation and Warehousing",3.998839963,2.86860657,1.1512,1.1628,4.3439
"2486",1319,2013,1221,29,0,"2.High school",FALSE,708,5.711538462,32.6216716,TRUE,1,0,"Cohabiting",2,0,"Transportation and Warehousing",3.998839963,2.86860657,1.1512,1.1628,4.3439
"2489",1324,2002,1175,22,1,"2.High school",FALSE,187,0.269230769,0.072485207,TRUE,1,0,"Cohabiting",3,1,"Finance, Insurance, Real Estate, and Rental and Leasing",4.156761241,3.315931593,1.0204,1.0686,4.2445
"2490",1324,2003,1100,23,2,"2.High school",FALSE,228,2.923076923,8.544378698,TRUE,0,1,"No romantic union",3,1,"Retail Trade",4.0115,3.585,1.2574,1.1962,4.292729273
"2491",1324,2004,723,24,2,"2.High school",FALSE,246,0.346153846,0.119822485,TRUE,0,0,"No romantic union",3,1,"Health Care",3.62101816,2.253883074,1.26575105,1.060135338,4.307689744
"2492",1324,2005,932,25,2,"2.High school",FALSE,284,1.076923077,1.159763314,TRUE,0,0,"No romantic union",3,1,"Health Care",3.62101816,2.253883074,1.26575105,1.060135338,4.307689744
"2493",1324,2006,1100,26,2,"2.High school",FALSE,332,0.730769231,0.534023669,TRUE,1,0,"No romantic union",3,1,"Health Care",3.62101816,2.253883074,1.26575105,1.060135338,4.307689744
"2494",1324,2007,1025,27,2,"2.High school",FALSE,372,1.5,2.25,FALSE,0,0,"No romantic union",3,1,"Health Care",3.62101816,2.253883074,1.26575105,1.060135338,4.307689744
"2495",1324,2008,1000,28,2,"2.High school",FALSE,426,2.538461538,6.443786982,TRUE,0,0,"No romantic union",3,1,"Health Care",3.62101816,2.253883074,1.26575105,1.060135338,4.307689744
"2496",1324,2009,1000,29,2,"2.High school",FALSE,474,3.461538462,11.98224852,TRUE,0,0,"No romantic union",3,1,"Health Care",3.62101816,2.253883074,1.26575105,1.060135338,4.307689744
"2497",1324,2010,1050,30,3,"2.High school",FALSE,527,4.480769231,20.0772929,TRUE,0,0,"No romantic union",3,1,"Health Care",3.62101816,2.253883074,1.26575105,1.060135338,4.307689744
"2498",1324,2011,1211,31,3,"2.High school",FALSE,575,5.403846154,29.20155325,FALSE,1,0,"No romantic union",3,1,"Health Care",3.62101816,2.253883074,1.26575105,1.060135338,4.307689744
"2499",1324,2013,1400,33,5,"2.High school",FALSE,660,0.692307692,0.479289941,FALSE,1,0,"No romantic union",3,1,"Health Care",3.62101816,2.253883074,1.26575105,1.060135338,4.307689744
"2509",1354,1999,675,19,2,"1.Less than HS",FALSE,170,1.923076923,3.698224852,TRUE,0,0,"Cohabiting",3,1,"Transportation and Warehousing",2.9368,2.7455,1.1644,1.0014,4.323932393
"2511",1354,2004,1100,24,0,"1.Less than HS",FALSE,278,1.692307692,2.863905325,TRUE,1,0,"No romantic union",3,1,"Retail Trade",3.4102896,2.56035,1.097459746,1.2124,4.162158108
